Track Name,Artist Names,Album Name,Track ID
Dancer,"IDLES, LCD Soundsystem",Dancer,2F7dO7OCqrxff66epaNPEU
Seasons,Thirty Seconds To Mars,Seasons,5AVwPRQ5X1pNqYrHd1cjli
hotline,bby,hotline,0ZUZmQiHvcHJY3375xsk3F
Yours (feat. Bea Miller),"Sueco, Bea Miller",Yours (feat. Bea Miller),1OYchHxLhckxWStYd5qTyq
Conceited,Lola Young,Conceited,2Iv1yhxAH7m9SpohnJMs9B
bad idea right?,Olivia Rodrigo,GUTS,3IX0yuEVvDbnqUwMBB3ouC
bella,EKKSTACY,bella / i can't find anyone,2i5q9JRYHVkPNegErZ2WvA
Losing My Head,Neon Trees,Losing My Head,71dHLCNMxrjaI7kGDiwZc3
Young In America,Barns Courtney,Young In America,0Ef2EJ0YndF0GZMQHsrOvt
Cannonballers,Colony House,Cannonballers,5hR92ZjhZsVVUPLuEJcxDf
The One I Used To Love,Bad Suns,The One I Used To Love,752icFa2OOLztKyoacg4n9
Pull Me Through,Royal Blood,Back To The Water Below,4EmnzJLkWYI9JyYTWtnOVT
More Than a Love Song,Black Pumas,More Than a Love Song,2LflS98n1TRQb0Fcj1910h
Black Friday,Tom Odell,Black Friday,1XTY6rA7XQosc0ynkkE9kN
Madonna,Kevin Abstract,Madonna,3FvmEqbtSbggcZUnevF5Ng
Not Strong Enough,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus",the record,09DR0sHnQUhHOiSNttc1mv
The Matrix,Mother Mother,The Matrix,0bpmBKuehVqxXeYtdeTqEG
Bubblegum Dog,MGMT,Bubblegum Dog,5MHNVfob6U5PBe8y15A4MG
6 Pack and Cigarettes,ALEXSUCKS,The Gutter,1byxxkw33SsLEYNRKdmaOQ
The Tower,Future Islands,The Tower,09eApSzdPkFadMVJ8LlA3D
Black Dress,070 Shake,Black Dress,4pchG0mOBAJoXXu1vmwyTY
Nothing Works,Declan McKenna,Nothing Works,1ovHiPLgMF3NCcu6OgpX90
What Now,Brittany Howard,What Now,1g8becOwXRFEkYukY94L99
Back On 74,Jungle,Volcano,19kHhX6f6EfLU7rcO3RqjO
Subliminal,half•alive,Subliminal,2L5watN9wy4bAnBvhxYg8r
Diving - feat. Holly Humberstone,"Bombay Bicycle Club, Holly Humberstone",My Big Day,786ApDDgJHMbvYaJCA4psT
Highlands,Middle Kids,Highlands,177wGtLGKq5S8FqcagPDj6
Sure Enough,Two Door Cinema Club,Sure Enough,2RI2HBUx4Algf7PVTklzUM
The Dead Come Talking,Roe Kapara,The Dead Come Talking,30rgtGTl30WcfiyDDqo94A
Dilemma,Green Day,Dilemma,6Gn1Gi5zfCgSiTHikrDjni
The Matrix,Mother Mother,The Matrix,0bpmBKuehVqxXeYtdeTqEG
When The Devil Speaks…,ThxSoMch,When The Devil Speaks…,2FKnNu9PmgcUSXXBgR2phR
Yours (feat. Bea Miller),"Sueco, Bea Miller",Yours (feat. Bea Miller),1OYchHxLhckxWStYd5qTyq
thoughts i have while lying in bed,"The Maine, Beach Weather",thoughts i have while lying in bed (with Beach Weather),7t01uN0kyKMEK8Ow9hhEXa
